Firearm Reference Number,Make,Model,Individual Amount
128702,Watsons Weapons,50,1890
165303,Adams Arms,Multical,1890
188963,Adams Arms,AASF-308,1890
127727,Kriss,Kriss Vector CRB/SO,1895
142968,Kriss,Kriss Vector CRB,1895
17473,Colt,AR15,1900
17919,Colt,AR15A2 Sporter Delta HBar,1900
18098,Colt,AR15A2,1900
18107,Colt,AR15 Match HBar,1900
18381,Colt,M16A2 Carbine,1900
19712,Inland Manufacturing,M1 Advisor,1900
24290,National Ordnance,M1 Carbine,1900
25437,Colt,AR15A2 Match Target Target Model,1900
25439,Colt,AR15A3 Match Target Competition HBar,1900
25442,Colt,AR15A2 Sporter Match Target Competition HBar 2,1900
33585,Armalite,AR-10A2,1900
34712,Colt,AR15A2 Sporter Match Target Lightweight,1900
34967,Colt,AR15A2 Government Target,1900
34968,Colt,AR15A2 Sporter Match Target HBar,1900
34972,Colt,AR15A2 Match Delta HBar,1900
34980,Colt,AR15A2 Sporter Competition HBar Range Selected,1900
34998,Colt,AR15A2 Carbine,1900
44865,Colt,M16A2,1900
83232,Colt,SMG,1900
122265,Valkyrie Arms,Sten MARK 2 SA,1900
125652,Colt,C7CT,1900
125658,Colt,C7A1,1900
125659,Colt,C7A2,1900
134561,Rock River Arms,LAR-PDS,1900
135565,Rock River Arms,LAR-PDS,1900
146319,Valkyrie Arms,M3A1 Pistol,1900
147634,DPMS,G2,1900
147691,Kel Tec,RMR30,1900
150246,Midwest Industries,MI-15F,1900
150247,Midwest Industries,MI-15F,1900
174524,Colt,AR15A4 Lightweight LE Carbine,1900
189722,Colt,AR15 Target Model,1900
197858,Colt,M5,1915
15431,Recoilless Rifle,Pansarskott M68 Miniman,1920
16150,Recoilless Rifle,Type 65,1920
16829,Recoilless Rifle,RGW 90,1920
16998,Recoilless Rifle,M136 AT4,1920
18533,Recoilless Rifle,FMK1 105MM,1920
18534,Recoilless Rifle,M40A1,1920
18535,Recoilless Rifle,Type 78,1920
119826,MK Specialties,M14A1 Semi-Automatic,1920
127323,Recoilless Rifle,AT4,1920
127846,Imperial Defence Services,MG4A5,1920
129075,Recoilless Rifle,B-10,1920
129183,Tactical Innovations,T-15BDX,1920
130869,Spike's Tactical,SLP-15 Pistol,1920
131652,DPMS,A-15 Panther CSAT,1920
133461,Spirit Gun Manufacturing Company,SGM9P,1920
164542,Recoilless Rifle,RGW 60,1920
164664,Recoilless Rifle,M18A1,1920
164682,Recoilless Rifle,M18A1,1920
164683,Recoilless Rifle,Type 36 M18A1 Recoilless Rifle Copy,1920
164704,Recoilless Rifle,M40A1,1920
164705,Recoilless Rifle,M40A1,1920
164722,Recoilless Rifle,Folgore,1920
164723,Recoilless Rifle,Folgore,1920
164726,Recoilless Rifle,M40A1,1920
164727,Recoilless Rifle,M40A1,1920
164729,Recoilless Rifle,M60A,1920
164730,Recoilless Rifle,M60,1920
164742,Recoilless Rifle,M65,1920
170104,Recoilless Rifle,SPG-9,1920
170142,Recoilless Rifle,SPG-9,1920
177504,Troy Defense,Troy M7A1 PDW Carbine,1920
180002,Spike's Tactical,Meanstreak,1920
147583,Troy Defense,Troy Proctor Carbine,1925
154572,Sarsilmaz,SAR 223C,1927
148829,Remington,R4,1930
17921,Colt,AR15A2 Sporter Competition HBar,1940
63969,Poly Technologies,M14 Semi-Automatic,1940
127076,DPMS,LR-243 Panther,1940
129524,Poly Technologies,M305,1940
131835,TNW,SGP15,1940
44005,Armalite,AR-10B,1950
139704,Black Rain Ordnance,Fallout 10,1950
143584,Patriot Defense Arms,PDA-15,1950
149866,Kel Tec,RDB,1950
189643,Trojan Firearms,ULV1,1950
195761,Matrix Aerospace,M762-D,1950
68107,Mauser,Sporter,1960
141524,Quentin Defense,QD-15,1960
141525,Quentin Defense,SBR,1960
141526,Quentin Defense,ZRT,1960
193642,Sharps Bros,The Jack,1960
124561,Alexander Arms,AAR15 Genghis,1970
147180,Phase 5 Tactical,Atlas One,1970
197468,BG Defense,M4 Type-A,1970
127847,Imperial Defence Services,MG4A6,1975
161966,Savminter Enterprises,Victor,1975
175224,Fort Discovery,Expedition,1975
144601,AdeQ Firearms,Venator,1980
166062,2 Vets Arms,2VA-10,1980
191002,Radical Firearms,RM-15,1980
196562,Lockhart Tactical,Raven,1990
62084,Breda,PG,2000
89455,Valkyrie Arms,M3A1,2000
130531,Globe Firearms,Mohawk,2000
147163,Colt,SA15.7,2000
181762,Sten,MARK 2 Longbranch Copy,2000
197470,Kel Tec,RDB-C,2000
127937,Rock River Arms,LAR-8,2020
128112,Spike's Tactical,ST-22,2020
133480,Spike's Tactical,CJ15,2020
157506,Spike's Tactical,Warthog,2020
167042,Warrior,Warrior Tactical Shotgun,2020
136547,Heckler & Koch,HKM320,2030
149711,Franklin Armory,F17-V4,2030
187802,Nordic Components,NC-PCC,2030
15355,Ruger,Mousqueton AMD-5.56,2035
126166,Remington,XM110,2035
128667,SOG Armory,SOG Tactical,2035
33458,DPMS,A-15 Panther Bull Twenty-Four,2040
33818,DPMS,A-15 Panther Bull Sixteen,2040
188264,PWS,PCC9,2040
189662,PWS,PCC9,2040
125781,Farquhar & Hill,Farquhar & Hill Rifle,2045
33592,Armalite,AR-10A4,2050
149190,Alexander Arms,AAR17,2050
158848,POF,P-15,2050
125287,Armalite,M15,2060
133219,Armalite,AR-10 Magnum,2060
144080,TKS Engineering,AR15HD,2060
161646,Armalite,AR-102 Sporter,2060
161652,Armalite,AR-10 KLM,2060
185743,Armalite,M15,2060
71932,Heckler & Koch,USC,2070
194814,Rock River Arms,LAR-8M,2070
128644,Olympic Arms,UM1P Ultramatch,2080
133398,PWS,MARK 1,2080
177502,Troy Defense,Troy M7A1 CQB,2080
48505,Diemaco,R7,2090
162586,Battle Arms Development,BAD-15,2090
179645,DTI,DT10,2090
190322,Glarner Waffen,SPC-A2,2090
193662,Sharps Bros,Hellbreaker,2090
733,Ljungman,AG42B,2100
735,Ljungman,AG42B,2100
2540,Tokarev,SVT 1940,2100
2542,Tokarev,SVT 1940,2100
54485,Tokarev,SVT 1940,2100
134797,PWS,MARK 1 Pistol,2100
135574,Rock River Arms,LAR-8 Operator,2100
143581,Beretta,ARX100,2100
48247,JP Enterprises,JP-15 IPSC Limited Class,2110
156868,Devil Dog Arms,DDA-15B,2110
156870,Devil Dog Arms,DDA-15B,2110
124562,Alexander Arms,AAR15 Grendel,2120
197036,Griffin Armament,MK1,2125
141221,FN,FNX-01,2130
152186,Alexander Arms,AAR15,2140
126415,Leitner-Wise Rifle,LW15-5.56CP,2145
132638,Bushmaster,LR-308,2145
147770,SIG Sauer,SIG PM400,2145
151986,Ruger,AR556,2145
157447,Grey Ghost Precision,Specter Heavy,2145
185642,Alien Armory,AA9G,2145
185682,Alien Armory,AAB-15,2145
121656,Alexander Arms,AAR15 Beowulf,2150
126284,DPMS,A-15 Panther 20th Anniversary,2150
144780,Franklin Armory,HSC-15,2150
147181,Phase 5 Tactical,Atlas One Pistol,2150
164374,Tomahawk,SA1900,2150
130627,Les Baer Custom,Police Special,2160
141528,Blackwater,BW-15,2160
142967,Kriss,Kriss Vector SBR,2175
143210,Kriss,Kriss Vector SBR/SO,2175
131648,DPMS,A-15 Panther The Agency,2180
144560,VC Defense,VC-15,2180
144561,VC Defense,VC-15,2180
145697,Olympic Arms,UMAR,2180
142146,Adcor Defense,B.E.A.R.,2190
144375,Colt Competition,CSR Sporting,2190
147168,Colt,SA20,2190
173322,Quartercircle10,GSF Pistol,2190
154126,Bushmaster,BR-308,2200
162466,BS Ordnance,Sten MARK 3,2200
196092,Chiappa Firearms,CBR-9R,2200
196840,B&T,GHM-320,2200
197560,Chiappa Firearms,CBR-9,2200
122359,Diemaco,C7CT,2205
126420,Leitner-Wise Rifle,LW15-5.56SFODA,2205
133416,Thor,TR15 CQB Carbine,2205
44825,Colt,AR15A2 Sporter Match HBar,2210
125588,Titusville Armory,TA-15,2210
137522,Ambush Firearms,A11,2220
147079,SIG Sauer,SIG MPX Pistol,2220
163146,Faxon Firearms,ARAK-21 XRS,2220
31877,Springfield Armory,US Rifle M1A,2230
126881,Accuracy Systems,A-15 Custom Edition LR Tech Tactical,2240
127744,Bushmaster,XM15E2S 450 Bushmaster,2240
132917,American Historical Foundation,Federal Ordnance M14 US Rifle Vietnam War Commemorative,2240
164332,Tomahawk,W12,2250
164337,Tomahawk,W11,2250
196484,Kriss,Kriss Vector 22 CRB,2250
196545,Kriss,Kriss Vector 22 SBR,2250
26237,SGW,CAR40,2260
133638,Mega Machine Shop,MEGA GTR-3H,2260
147633,Troy Defense,Troy M7A1 Carbine,2260
152726,2 Vets Arms,2VA-15,2260
161767,CQ,Type CQ-A Semi-Automatic Rifle,2260
166142,Unik,Alpha,2260
184430,JP Enterprises,GMR15,2260
136297,Fulton Armory,FAR-308,2270
156871,Devil Dog Arms,DDA-10B,2270
87296,Olympic Arms,CAR15 AR,2280
178303,Savage,MSR-10,2280
120443,Sabre Defence Industries,XR15,2290
129496,Sabre Defence Industries,XR10,2290
133170,Sabre Defence Industries,SR-15,2290
142347,Colt Competition,CCR Competition,2290
152346,Black Rain Ordnance,Fallout 15 Pistol,2295
129967,Daniel Defense,M4 Carbine,2300
153447,M+M,M10X,2300
164329,Tomahawk,G3,2300
182762,Kodiak Defence,WK180C,2300
196687,Kriss,Kriss Vector 22 SDP,2300
197367,Crusader Arms,Crusader 9,2300
90516,Wilson Combat,AR15 M4,2310
147179,Phase 5 Tactical,P5T15,2310
147179,Phase 5 Tactical,P5T15,2310
157446,Grey Ghost Precision,Specter Light,2310
189324,ZEV Technologies,ZEV-FL,2310
154814,Troy Defense,Troy M5,2315
133456,Black Rain Ordnance,Fallout 15,2320
144305,Black Rain Ordnance,Fallout 15,2320
194726,Spike's Tactical,Spartan,2320
195337,Gilboa,Snake,2320
31325,ZM Weapons,LR300SR,2330
31349,ZM Weapons,LR300ML,2330
119327,Dlask Arms,DAP601,2330
119345,Dlask Arms,DAR701,2330
123789,Dlask Arms,PAC-5,2330
150148,DRD,CDR-15,2330
176802,Dlask Arms,AR15 Type,2330
183682,Dlask Arms,DAR701 Canada 150 Birthday,2330
25679,Heckler & Koch,SL7,2335
184202,B&T,GHM9,2335
125603,LMT,Defender 2000,2340
175223,Dez Arms,DTA-10,2340
130508,Springfield Armory,US Rifle M1A NRA Camp Perry National Matches 100th Anniversary,2350
133216,CMMG,MK3,2350
144609,Bean Firearms,BFC-15A,2350
152906,Daniel Defense,M4 Carbine Pistol,2350
196020,American Defense Manufacturing,UICH,2350
196060,Prairie Gun Works,Direwolf,2350
197330,Ruger,LC Carbine,2350
145724,Ruger,SR762,2360
146157,DPMS,LR-G2 Panther,2360
196023,Grey Ghost Precision,GGP-S Light,2370
125015,Diemaco,CQB,2375
176702,Invincible Arms,IA-15,2375
193146,Dasan,DAR10,2375
60179,Frankford Arsenal,XM-177E2,2380
130995,SIG Sauer,SIG 516,2380
139837,SIG Sauer,SIG 516,2380
185083,Smith & Wesson,M&P 10 Creedmoor,2380
195038,Double Star,Star-10B,2380
140988,Sendra Corp,M15A1,2390
154616,Seekins Precision,SBA15,2390
33528,Armalite,AR-10,2400
119872,Tavor,21 TSR,2400
126799,Tavor,21,2400
141678,Rock River Arms,LAR-15 Fred Eichler Series,2400
145143,Armalite,AR-10,2400
152991,Desert Tech,MDR,2400
154666,Springfield Armory,US Rifle M1A Loaded,2400
158310,Allied Armament,Shpagin PPSh41,2400
174424,FN,FN15 Carbine,2400
185742,Armalite,AR-10,2400
194716,Kodiak Defence,WK181C,2400
197099,Springfield Armory,Hellion,2400
17471,Colt,AR15A2 Sporter 2,2410
34719,Colt,AR15A2 Sporter Target,2410
54484,Heckler & Koch,HKMZP1,2410
127186,Heckler & Koch,HK69A1 Granatpistole,2410
127187,Heckler & Koch,HKAG-G36,2410
127493,Heckler & Koch,HKAG-C,2410
128406,Heckler & Koch,HKXM320,2410
134931,Heckler & Koch,HKAG-HK416,2410
136543,Heckler & Koch,HKAG 36,2410
136544,Heckler & Koch,HKGLM,2410
136545,Heckler & Koch,HKAG-M16A4,2410
136546,Heckler & Koch,HKAG-M4,2410
137359,Heckler & Koch,HK168E1,2410
145075,Heckler & Koch,HK79,2410
145076,Heckler & Koch,HK79,2410
154618,SIG Sauer,SIG MCX,2410
157227,Heckler & Koch,HK269,2410
167222,Heckler & Koch,HK169,2410
169082,CMMG,MkW-15,2410
190264,Fortis Manufacturing,FM15,2410
154667,Springfield Armory,US Rifle M1A Scout Squad,2420
168122,Cross Machine Tool,UHP15A,2420
122360,Diemaco,C8CT,2430
129548,Para USA,TTR,2430
130062,Benelli,MR1,2430
152990,Double Star,Star-15 Patrol Rifle,2430
174502,FN,FN15 Rifle,2430
196384,CZ,CZ Bren 2 Ms,2430
196391,CZ,CZ Bren 2 Ms,2430
171202,Lantac,MK-4,2440
142063,Micor Defense,Leader 416,2450
142063,Micor Defense,Leader 416,2450
148868,Spike's Tactical,Hellbreaker,2450
194910,Sun Devil,SD308,2460
125913,Cobb,MCR,2470
125915,Cobb,MCR 30-06 SPRG 100th Anniversary Commemorative,2470
162250,Gilboa,M-43,2470
163006,Armalite,SPR Mod 2A,2470
133146,Colt,IUR,2480
135209,Colt,Modular Carbine,2480
180945,Windham Weaponry,MCS,2480
136810,LWRC,M6/M6 G,2485
33583,Armalite,AR-10T,2500
129027,Clark Custom Guns,Gator,2500
139282,SRM Arms,1208,2500
139283,SRM Arms,1212,2500
154619,SIG Sauer,SIG MCX Pistol,2500
160248,Coronado Arms,CA-15,2500
176482,SIG Sauer,SIG MPX Carbine,2500
174825,American Spirit Arms,Canadian Carbine,2520
177285,Daniel Defense,DDM4,2520
188182,PWS,MARK 1 Mod 2-M,2520
130106,LWRC,M6/M6A3,2530
130114,LWRC,M6/M6A2 PSD,2530
131601,LWRC,M6/M6A3 PSD,2530
185262,Lantac,LA-N15,2530
125027,Rhino Arms,RA-4,2540
135119,DPMS,A-15 Panther Hunter,2540
145823,Emtan,EM-15,2540
162307,Rhino Arms,RA-4R,2540
31128,Sterling,MARK 5 Police Carbine,2550
195514,Seekins Precision,NX15,2550
195711,Sharps Bros,Warthog,2550
125711,Daniel Defense,DD-15,2570
126191,POF,P415,2570
133463,BCM Rifle Company,BCM4,2570
141920,POF,P415,2570
16214,Badrock Tactical,BR10,2590
16218,Badrock Tactical,BR15,2590
132731,Robinson Armament,XCR-L Micro Pistol,2590
21475,Kommando Arms Manufacturing,Kommando,2600
30162,Weatherby,Classic MARK 2,2600
34711,Colt,AR15 Sporter Lightweight,2600
126788,Kel Tec,RFB,2600
127748,Bushmaster,ACR,2600
130122,LWRC,M6,2600
134841,Adcor Defense,ADC15,2600
144110,US Firearms Academy,BB-16,2600
144781,Franklin Armory,Libertas,2600
149252,Aero Precision,M5,2600
149709,Franklin Armory,F17-L,2600
172187,NoDak Spud,NDS-18S,2600
175222,Dez Arms,TA-15,2600
178024,Black Leaf Industries,BL9,2600
179463,Black Leaf Industries,BL9S Prototype,2600
189425,ZEV Technologies,Mega-TR15,2600
197281,Desert Tech,MDRX,2600
63945,Entreprise Arms,US Rifle M14A2,2610
64022,AR Sales,MARK 4,2610
120587,La France Specialties,M14K,2610
126113,Robinson Armament,XCR,2610
128316,Barrett Firearms,REC7,2610
139462,McMillan,M1A,2610
139463,McMillan,M3A,2610
145296,Dominion Arms,Socom 18,2610
149707,Rockola,US Rifle M14F,2610
160006,Manufacture Francaise d'Armes & Cycles de St Etienne,Cannon Breech Punt Gun,2610
193582,James River Armory,M14,2610
125607,Diemaco,C8A2,2625
125655,Colt,CQB,2630
154387,Daniel Defense,DD MK762,2630
126476,Cloud Mountain,502 Thunder Sabre,2655
150466,American Historical Foundation,Bushmaster XM15E2S Carbine United States Airborne Commemorative,2655
154686,Specialized Tactical Systems,SX3 Zombie Slayer Limited Edition,2655
160166,CMMG,MK3 Pistol,2655
175204,Dez Arms,BR4-15,2655
133217,CMMG,MK-8,2660
134862,Robinson Armament,XCR-L,2660
167682,Wilson Combat,AR9G,2660
195915,LWRC,224 Valkyrie,2660
48230,JP Enterprises,JP-15 Match,2670
48253,JP Enterprises,JP-15 NRA Match,2670
130104,LWRC,M6/M6A2,2670
133836,Tactical Rifles,Tactical M4C,2670
134798,PWS,MARK 2,2670
147540,Adcor Defense,Elite,2670
36984,Holloway Arms,7 Match,2700
46208,Penn Arms,AML1-37,2700
62106,CZ,ZH29,2700
128258,FN,FNAR,2700
128859,Penn Arms,HL,2700
128865,Penn Arms,HG,2700
128867,Penn Arms,L8,2700
128870,Penn Arms,L1,2700
128871,Penn Arms,GL1,2700
128872,Penn Arms,PGL65,2700
128875,Penn Arms,GL6,2700
128877,Penn Arms,GL65,2700
143346,Tavor,SAR,2700
144280,Penn Arms,PGL65,2700
144281,Penn Arms,PL8,2700
144288,Penn Arms,TL1,2700
144289,Penn Arms,PL8,2700
144290,Penn Arms,TL8,2700
144293,Penn Arms,TGL1,2700
144294,Penn Arms,TGL6,2700
167502,Hill & Mac Gunworks,STG,2700
170822,F-1 Firearms,BDR-15 CA,2700
189323,ZEV Technologies,ZEV-BL,2700
197056,Sterling Arms International,R18 MK2,2700
18891,Essential Arms Company,J15,2710
18891,Essential Arms Company,J15,2710
144624,Battle Rifle Company,BR4,2710
147565,Battle Rifle Company,BR4,2710
196385,Spike's Tactical,ST-9,2710
141538,Sword International,MARK 15 Model 0,2720
125118,FN,PS90,2725
17917,Colt,AR15A2 Government,2730
15300,Russian Service,DP-64,2740
15528,Arsenal,UGGL-M1,2740
15535,Milkor,Stopper,2740
15553,Armscor,Stopper,2740
15705,Rocket Launcher,P27,2740
16416,Rocket Launcher,RPG-27 Tavolga,2740
16839,Missile Launcher,Eryx,2740
17077,Rocket Launcher,ALAC,2740
17162,Rocket Launcher,MARA,2740
19055,Truvelo,SR20,2740
19294,Truvelo,CMS 20,2740
19382,Missile Launcher,Starstreak,2740
19892,Rocket Launcher,Shipon,2740
19919,Rocket Launcher,RPG-22 Netto,2740
19936,Missile Launcher,9K310 Igla-1,2740
20168,Missile Launcher,9K34 Strela-3,2740
20601,Luvo,M203,2740
21465,Missile Launcher,Type 79,2740
22655,CZ,CZ805 G1,2740
22704,Missile Launcher,MILAN,2740
22729,Rocket Launcher,MARK 153 SMAW,2740
22852,Rocket Launcher,B-300,2740
23356,Missile Launcher,HN-5,2740
23357,Missile Launcher,FIM-92 Stinger,2740
24387,Rocket Launcher,RPG-26 Aglen,2740
26531,Rocket Launcher,RPG-76,2740
26532,Rocket Launcher,RPG-7,2740
26569,Rocket Launcher,RPG-7,2740
26733,Rocket Launcher,RPG-7,2740
34126,DPMS,A-15 37mm Launcher,2740
51978,Smith & Wesson,210/276,2740
68869,German Anti-Tank Rifle,M41,2740
68964,German Anti-Tank Rifle,PzB38,2740
69065,German Anti-Tank Rifle,PzB39,2740
69085,German Anti-Tank Rifle,PzB39,2740
121721,German Anti-Tank Rifle,PzB41,2740
123580,Rocket Launcher,RPG-7,2740
124183,Et Cetera,37mm Launcher,2740
125665,Diemaco,M203A1,2740
125673,Diemaco,Eagle,2740
125682,RM Equipment,M203PI,2740
126466,Milkor,MGL MARK 1,2740
126475,Milkor,M79,2740
126682,Aerotek,NTW,2740
127319,Portuguese Mortar,M965,2740
127320,Portuguese Mortar,M937,2740
127321,Portuguese Mortar,M965,2740
127322,US Recoilless,M18,2740
127324,Rocket Launcher,M72,2740
127328,Rocket Launcher,M1,2740
127330,Rocket Launcher,M1A1,2740
127331,Rocket Launcher,M9,2740
127337,Rocket Launcher,M20B1,2740
127903,Russian Mortar,M1937,2740
127904,Czechoslovakian Mortar,VZ52,2740
127905,Chinese Mortar,Type 53,2740
128268,FN,EGLM,2740
128324,Smith & Wesson,276,2740
128711,China Lake,EX-41,2740
128729,Beretta,GLX160,2740
128742,Milkor USA,MGL-140 M32,2740
128744,Milkor USA,MGL-140,2740
128745,Milkor,MRGL,2740
128854,Knights Armament Company,M203,2740
129007,Milkor USA,MGL-105,2740
129055,Russian Artillery,M1942 Anti-Tank Gun,2740
129057,US Recoilless,M20,2740
129202,US Recoilless,M20,2740
129497,Sabre Defence Industries,XR40,2740
129499,Sabre Defence Industries,XR37,2740
129804,German Anti-Tank Rifle,GrB39,2740
130286,German Mortar,1934 Granatwerfer,2740
130305,German Mortar,Kurzer Granatewerfer 42,2740
131714,Hotchkiss,1934 Canon SAH,2740
131836,Israeli Mortar,C03,2740
133758,Rocket Launcher,RPG-75,2740
133762,Rocket Launcher,RPG-75,2740
134124,Schermuly,38mm Multi-Purpose Gun,2740
134837,Rocket Launcher,LRAC89-F1,2740
136838,Rocket Launcher,RPG-16 Udar,2740
138729,Rocket Launcher,RPG-7B,2740
138965,CQ,Type CQ 40MM,2740
143281,FN,MARK 13 Model 0,2740
143353,IOF,Vidhwansak,2740
143353,IOF,Vidhwansak,2740
143355,IOF,Ugra,2740
143357,IOF,UBGL,2740
143816,Croatian Service,RT-20,2740
144005,Polish Grenade Launcher,Wz74,2740
144008,Polish Grenade Launcher,Wz83,2740
144087,Czech Weapons,SAG 30,2740
144088,Czech Weapons,CZW 40,2740
144131,Helenius,RK20,2740
144140,Helenius,RK99 MARK 2,2740
144142,Alpimex,APK 20,2740
144144,Denel,NTW 20HS,2740
144146,Truvelo,SR20,2740
145070,Arsenal,UBGL,2740
145071,Metallic Limited,RBG-1,2740
145073,Metallic Limited,RBG-6,2740
145074,Maadi,UBGL,2740
145077,Pindad,SPG-1,2740
145078,Daewoo,K201,2740
145080,Romarm,AG-40,2740
145081,Singapore Technologies Kinetics,40GL,2740
145082,Swiss Arms,GL5040,2740
145083,Swiss Arms,GL5140,2740
145084,Swiss Arms,GLG40,2740
145085,Taiwanese Grenade Launcher,T85,2740
145089,LEI,M203-PR,2740
145097,DSA,40MM Launcher,2740
145100,Floro International,40MM Launcher,2740
145104,Tarnow,RGP-40,2740
145155,Oerlikon,SSG 32,2740
145156,Oerlikon,SSG 36,2740
145158,Swiss Anti Tank Rifle,Tankbusche 41,2740
145160,Japanese Anti-Tank Rifle,Type 97,2740
145345,FN,FN40GL,2740
146082,Rocket Launcher,RL100 Blindicide,2740
146179,Lamperd,L40SL,2740
146202,ERE Systems,M203 ERE Elite Launcher,2740
146318,Rocket Launcher,MARK 153 SMAW,2740
146320,Rocket Launcher,M141 SMAW-D,2740
147301,Japanese Anti-Tank Rifle,Type 97,2740
148296,Elite Machining,ELM-40,2740
148689,Tarnow,GP40,2740
148690,Tarnow,GS40,2740
148691,MKE,T40,2740
148699,Airtronic,M203,2740
148702,Rocket Launcher,RPG-7,2740
148703,Rocket Launcher,MARK 777 RPG,2740
148706,Arsenal,MSGL,2740
148707,Rocket Launcher,ATGL RPG,2740
148708,Rocket Launcher,Type 69 RPG,2740
148709,Rocket Launcher,Type 56 RPG,2740
148710,Rocket Launcher,RPG-2,2740
148712,Rocket Launcher,Cobra RPG,2740
148714,Rocket Launcher,Panzerfaust 3,2740
148715,Rocket Launcher,RPG-7,2740
148716,Rocket Launcher,RPG-7,2740
148752,Argentine Mortar,FMK2 81MM,2740
148805,Argentine Mortar,FMK2 120MM,2740
148806,Argentine Mortar,FMK1 60MM,2740
148809,Argentine Mortar,FMK2 60MM,2740
148810,Argentine Mortar,FMK3 60MM,2740
148811,Austrian Mortar,C6 60MM,2740
148812,Austrian Mortar,M6 60MM,2740
148817,Austrian Mortar,M8 81MM,2740
148818,Austrian Mortar,M12 120MM,2740
148819,Greek Mortar,C6 60MM,2740
148820,Bulgarian Mortar,M60 60MM,2740
148821,Bulgarian Mortar,M81 81MM,2740
148822,Bulgarian Mortar,M82 82MM,2740
148823,Chilean Mortar,Commando,2740
148831,Chilean Mortar,M57 81MM,2740
148836,Rocket Launcher,APILAS,2740
148837,Rocket Launcher,Wasp,2740
148838,Rocket Launcher,Wasp,2740
148840,Italian Mortar,Otobreda 81MM,2740
151309,Floro International,M400,2740
151310,Floro International,M203,2740
151346,Dezamet,GSBO-40,2740
151347,Dezamet,GPBO-40,2740
152966,DSA Incorporated,M203,2740
154566,Sage,ML40 MARK 1,2740
154827,Sage,Ace 37mm Launcher,2740
154828,Sage,Ace 40mm Launcher,2740
154830,Sage,Deuce 37mm Launcher,2740
154831,Sage,Deuce 40mm Launcher,2740
156914,Milkor USA,MGL-AV140,2740
159926,MKE,Grenade Launcher,2740
161507,German Anti-Tank Rifle,PzB39,2740
164026,Rocket Launcher,RPG-7,2740
164543,Rocket Launcher,Bunkerfaust,2740
164663,Rocket Launcher,Type 2004 RPG,2740
164688,Rocket Launcher,PF98,2740
175262,Astra Arms,SL203,2740
175364,Astra Arms,GL203,2740
175867,Greek Mortar,E44 81mm,2740
175868,Greek Mortar,E56 120mm,2740
180623,Corner Blast,PGL A1,2740
181022,Missile Launcher,9K38 Igla,2740
181042,Missile Launcher,9K38 Igla,2740
181043,Missile Launcher,FIM-43 Redeye,2740
181082,Missile Launcher,9K32 Strela-2,2740
181142,Missile Launcher,9K111 Fagot,2740
181242,Missile Launcher,M47 Dragon,2740
181243,Missile Launcher,Saegheh,2740
181323,Missile Launcher,Toophan,2740
183203,Missile Launcher,BGM-71 TOW,2740
183422,Ordnance Group,TAC79,2740
184142,Rocket Launcher,RPG-28 Klyukva,2740
184143,Rocket Launcher,RPG-29 Vampir,2740
184162,Rocket Launcher,FT5,2740
184164,Missile Launcher,Ingwe,2740
184182,Rocket Launcher,C90,2740
184283,Missile Launcher,FGM-148 Javelin,2740
186522,F-1 Firearms,UDR-15-3G,2740
190084,Denel,PAW-20,2740
194724,IWI,UBGL,2740
195066,Truvelo,HSR 20,2740
195279,Armsan,BA 40,2740
195830,Ordnance Group,TAC-D,2740
195924,Exotic Firearms,Nemesis-SL,2740
482,Harrington & Richardson,60,2750
132769,Christensen Arms,Carbon CA-15,2750
135597,Heckler & Koch,MR556A1,2750
162608,Armalite,M15 Pistol,2750
122538,Springfield Armory,US Rifle M1A SOCOM 16,2760
125050,Rock River Arms,LAR-15 Government,2760
133495,Sharps Rifle Company,Sharps 15,2760
131494,LWRC,M6/M6A2 Pistol,2770
174702,2A Armament,Aethon,2770
196847,SAE Alsetex,Cougar 40,2770
136548,Heckler & Koch,HKM320 A1,2780
153850,Les Baer Custom,AR Special Tactical Rifle,2790
31669,LAR Manufacturing,Grizzly Big Boar,2800
36982,Holloway Arms,7 Sniper,2800
48386,JP Enterprises,AR-10,2800
54636,Heckler & Koch,SL8-1,2800
104595,Heckler & Koch,SL8,2800
117357,Heckler & Koch,SL8-4,2800
175122,Hill & Mac Gunworks,STG-P,2800
194881,SRM Arms,1228,2800
197175,B&T,SPC300,2800
142839,Noreen Firearms,Noreen ULR,2820
142841,Noreen Firearms,Noreen ULR Extreme,2820
185923,Caracal,CAR 814 A2,2825
167862,Tavor,X95,2830
196906,Tavor,X95,2830
153907,LWRC,M6IC,2840
126640,Wilson Combat,AR15 SS,2860
143579,Rainier Arms,RM-15,2860
143580,Rainier Arms,RB-15,2860
147734,Miller Precision Arms,MPAR10,2860
147863,YHM,57,2860
164422,Rainier Arms,RB308,2860
185202,Rainier Arms,Overthrow,2860
157852,War Sport,GPR,2870
162247,Gilboa,Shorty 7,2880
162248,Gilboa,Commando 11.5,2880
162249,Gilboa,SMG,2880
162251,Gilboa,Carabine 14.5,2880
152326,Black Rain Ordnance,Fallout 15 NRA Rifle,2895
118955,Lucznik,BRS99,2900
121424,Heckler & Koch,SL8-5,2900
127752,Heckler & Koch,SL8-6,2900
129390,Heckler & Koch,SL8-10,2900
170842,F-1 Firearms,BDR-15-3G CA,2900
185383,CZ,CZ805 Bren S1,2900
123517,Springfield Armory,US Rifle M1A SOCOM 2,2910
134997,Armalite,AR-10NM,2910
171182,Lantac,LA-R15,2920
122814,B&T,TP9,2925
