Firearm Reference Number,Make,Model,Individual Amount
135760,USA Tactical Firearms,USA-15,1370
141282,Hogan Manufacturing,H223,1370
141840,New Frontier Armory,G-15,1370
141841,New Frontier Armory,LW-15,1370
189742,Springfield Armory,Saint Pistol,1370
195515,New Frontier Armory,C9,1370
33812,DPMS,A-15 Panther Bulldog,1380
34110,DPMS,A-15 Panther Pump Rifle,1380
36498,DPMS,A-15 Panther Kitty Kat,1380
117769,Olympic Arms,ML2 Multimatch,1380
121341,DPMS,A-15 Panther Carbine M-4,1380
121351,DPMS,A-15 Panther VAS Single Shot,1380
121454,Double Star,Star-15,1380
123177,DPMS,LR-300 Panther,1380
127079,DPMS,LR-30S Panther,1380
130451,Smith & Wesson,M&P 15X,1380
135137,DPMS,A-150 Panther,1380
135620,Hera Arms,HLS,1380
137178,DPMS,A-15 Panther VRS Single Shot,1380
137178,DPMS,A-15 Panther VRS Single Shot,1380
140247,Black Dawn,BDR-15,1380
145168,Firebird Precision Firearms,FPX-15,1380
147543,Adcor Defense,A556 Elite GI,1380
121349,DPMS,A-15 Panther Lite,1385
127078,DPMS,LR-204 Panther,1390
34014,DPMS,A-15 Panther DCM,1400
34324,Ruger,Mini-14 GB,1400
120819,SIG,SG540,1400
131467,Czech Small Arms,SA VZ58 Sporter 5.56,1400
144219,Fabrica Militar de Armas Portatiles,FMK5,1400
154066,B&T,P26,1400
159406,Torun Arms,TS H-1,1400
185846,Grand Power,Stribog SP9A2,1400
195608,Troy Defense,Troy 102,1400
197361,Beretta,ARX200,1400
199095,Freedom Ordnance,FX-9C,1400
152887,Jard,J17,1405
46705,Clark Custom Guns,Ruger Mini-14,1410
88076,Olympic Arms,K23B,1410
117772,Olympic Arms,KPM LE,1410
128692,Olympic Arms,ACB,1410
175091,Civilian Force Arms,CFA-15,1410
177284,Armalite,SPR Mod 2,1410
195954,Unknown,M305,1410
17158,Bushmaster,XM15E2S,1420
24849,Penn Arms,H140,1420
31479,Hesse Arms,M14H Brush,1430
125048,Rock River Arms,LAR-15 Tactical,1430
141484,Rat Worx,M-7,1430
144107,MMC Armory,MA-15,1430
144315,Colt,M4 Light Carbine,1430
168282,AR Five Seven,AR57 LEM,1430
178923,Stag Arms,Stag-10,1430
185482,Aero Precision,M4E1,1430
148830,MOLOT,Vepr-15,1440
197253,Barak,BR99,1440
1853,Ruger,Mini Thirty,1450
2537,Tokarev,SVT 1938,1450
2538,Tokarev,SVT 1938,1450
2539,Tokarev,SVT 1938,1450
62104,Tokarev,SVT 1938,1450
128661,Universal,M1 Carbine 40th Anniversary Commemorative,1450
182651,Jard,J56,1450
195944,Alpha Wolf,PCC,1450
197051,True North Arms,Ros-1,1450
196360,Cadex,CDX-Goro,1457
197448,Sterling Arms International,SAI Sporter,1457
17922,Colt,AR15A2 Match Target HBar,1460
117759,Olympic Arms,UM1 Ultramatch,1460
133152,Eagle Arms Division Of Armalite,M15P,1460
137406,Loki Weapon Systems,LWSF,1460
147182,Phase 5 Tactical,P5T15 CQC Pistol,1460
34996,Colt,AR15 9MM Carbine,1470
85615,Rock River Arms,LAR-15,1470
129416,Ruger,SR556,1470
135621,Hera Arms,HCL,1470
137657,Proarms Armory,Par MARK 3,1470
158929,Quartercircle10,GLF,1470
165106,Noreen Firearms,Noreen BN308,1470
170082,Uzkon,UNG-12,1470
739,Mauser,1915 Automatic Rifle,1475
33384,Armalite,M15A4 T,1480
132047,Smith & Wesson,M&P 15PS,1480
190662,Lithgow Arms,F90S 508,1480
123590,Al Gi Mec,AGM1,1485
29567,Mauser,1908 Brazilian Rifle,1490
123599,CZ,CZ858 Tactical-2,1490
138377,Remington,LRP-07,1490
